Classification,,,,,,,,
Index,DataSet_Name,all_features,X,y,Best_model,rows,columns,
1,Ad Click Prediction,Gender Age EstimatedSalary Purchased   ,nf nf2 Gender Age EstimatedSalary,Purchased,KNN,400,4,
2,Mobile Price Classification,"battery_power	blue	clock_speed	dual_sim	fc	four_g	int_memory	m_dep	mobile_wt	n_cores	pc	px_height	px_width	ram	sc_h	sc_w	talk_time	three_g	touch_screen	wifi	price_range",battery_power' 'int_memory' 'px_height' 'px_width' 'ram',price_range,SVM,2000,21,
3,Bank Marketing,age        job        marital        education        default        balance        housing        loan        contact        day        month        duration        campaign        pdays        previous        poutcome subscribed ,age        job        marital        education        default        balance        housing        loan        contact        day        month        duration        campaign        pdays        previous        poutcome subscribed ,subscribed ,RandomForest,45211,21,
4,Super Store,Order ID        Order Date        Ship Date        Ship Mode        Customer ID        Customer Name        Segment        Country        City        State        Postal Code        Region        Product ID        Category        Sub-Category        Product Name        Sales        Quantity        Discount        Gain_Loss,Order ID        Order Date        Ship Date        Ship Mode        Customer ID        Customer Name        Segment        Country        City        State        Postal Code        Region        Product ID        Category        Sub-Category        Product Name        Sales        Quantity        Discount        ,Gain_Loss,Decision Tree,9994,20,
5,Bank Loans,ID        Age        Experience        Income        ZIP Code        Family        CCAvg        Education        Mortgage        Personal Loan        Securities Account        CD Account        Online        CreditCard,"Age	Income	Family	CCAvg	Education	Mortgage	Securities Account	CD Account	Online	CreditCard",Personal Loan,Random Forest,5000,14,
6,Airline Passenger Satisfaction,"id	Gender	Customer Type	Age	Type of Travel	Class	Flight Distance	Inflight wifi service	Departure/Arrival time convenient	...	Inflight entertainment	On-board service	Leg room service	Baggage handling	Checkin service	Inflight service	Cleanliness	Departure Delay in Minutes	Arrival Delay in Minutes	satisfaction","Gender', 'Customer Type', 'Age', 'Type of Travel', 'Class','Flight Distance', 'Inflight wifi service',
       'Departure/Arrival time convenient', 'Ease of Online booking',
       'Gate location', 'Food and drink', 'Online boarding', 'Seat comfort',
       'Inflight entertainment', 'On-board service', 'Leg room service',
       'Baggage handling', 'Checkin service', 'Inflight service',
       'Cleanliness', 'Departure Delay in Minutes', 'Arrival Delay in Minutes'",satisfaction,Random Forest,,,
7,Telco Customer Churn,customerID        gender        SeniorCitizen        Partner        Dependents        tenure        PhoneService        MultipleLines        InternetService        OnlineSecurity        ...        DeviceProtection        TechSupport        StreamingTV        StreamingMovies        Contract        PaperlessBilling        PaymentMethod        MonthlyCharges        TotalCharges        Churn,        gender        SeniorCitizen        Partner        Dependents        tenure        PhoneService        MultipleLines        InternetService        OnlineSecurity        OnlineBackup        DeviceProtection        TechSupport        StreamingTV        StreamingMovies        Contract        PaperlessBilling        PaymentMethod        MonthlyCharges        TotalCharges        Churn,Churn,Random Forest,7043,21,
8,Customer Service,"Class	Inflight wifi service	Departure/Arrival time convenient	Ease of Online booking	Gate location	Food and drink	Online boarding	Seat comfort	Inflight entertainment	On-board service	Leg room service	Baggage handling	Checkin service	Inflight service	Cleanliness","Class	Inflight wifi service	Departure/Arrival time convenient	Ease of Online booking	Gate location	Food and drink	Online boarding	Seat comfort	Inflight entertainment	On-board service	Leg room service	Baggage handling	Checkin service	Inflight service	Cleanliness",satisfaction,Random Forest,,,
9,financial payment system,"step	customer	age	gender	zipcodeOri	merchant	zipMerchant	category	amount	fraud ",customer  age  gender  merchant  category  amount,fraud,XGBoost,,,
10,Churn of Customers,CustomerId        Surname        CreditScore        Geography        Gender        Age        Tenure        Balance        NumOfProducts        HasCrCard        IsActiveMember        EstimatedSalary        Exited,"CustomerId	Surname	CreditScore	Age	Tenure	Balance	NumOfProducts	HasCrCard	IsActiveMember	EstimatedSalary	NewTenure	NewCreditsScore	NewAgeScore	NewBalanceScore	NewEstSalaryScore	Gender_Male	Geography_Germany	Geography_Spain","Exited	",Random Forest,10000,13,
11,Hotel Reservations,"	Booking_ID	no_of_adults	no_of_children	no_of_weekend_nights	no_of_week_nights	type_of_meal_plan	required_car_parking_space	room_type_reserved	lead_time	arrival_year	arrival_month	arrival_date	market_segment_type	repeated_guest	no_of_previous_cancellations	no_of_previous_bookings_not_canceled	avg_price_per_room	no_of_special_requests	booking_status","	Booking_ID	no_of_adults	no_of_children	no_of_weekend_nights	no_of_week_nights	type_of_meal_plan	required_car_parking_space	room_type_reserved	lead_time	arrival_year	arrival_month	arrival_date	market_segment_type	repeated_guest	no_of_previous_cancellations	no_of_previous_bookings_not_canceled	avg_price_per_room	no_of_special_requests	",booking_status,KNN,36275,19,
